Object_Id  Timestamp Type Lat Lng 
10 96 point 50.6433302 3.0532076
13 96 point 50.619367 3.0803934
19 96 point 50.637964 3.0782283
22 96 disappearpoint 50.6266757 3.0507407
30 96 point 50.6317016 3.0619811
31 96 point 50.6180563 3.0295901
32 96 point 50.6239959 3.0807865
33 96 point 50.6357518 3.0353861
38 96 point 50.6203402 3.0821302
40 96 point 50.6341979 3.0824658
41 96 point 50.6180382 3.0498416
43 96 point 50.6298108 3.0684776
45 96 point 50.6386632 3.0512462
48 96 point 50.6319369 3.0735889
0 97 point 50.6178358 3.0496529
7 97 point 50.6201173 3.0815635
10 97 point 50.6432259 3.0533356
13 97 point 50.6191169 3.0804299
19 97 point 50.6375244 3.0786266
30 97 point 50.6318528 3.0617021
31 97 point 50.6188782 3.0289695
32 97 point 50.6239932 3.0806328
33 97 point 50.6358833 3.0353521
38 97 point 50.62041 3.082385
40 97 point 50.6342345 3.0830211
41 97 point 50.6178358 3.0496529
43 97 point 50.6297881 3.0684494
45 97 point 50.6392526 3.0520107
48 97 point 50.6317429 3.0736809
0 98 point 50.6176583 3.0494979
7 98 point 50.6198503 3.0814833
10 98 point 50.6431155 3.0534392
13 98 point 50.6188392 3.0804933
19 98 point 50.636881 3.0792477
30 98 point 50.6321687 3.0611256
31 98 point 50.6189065 3.0288624
32 98 point 50.6240542 3.0806187
33 98 point 50.6359579 3.0353328
38 98 point 50.6204427 3.0827673
40 98 point 50.6343277 3.0836601
41 98 point 50.6176583 3.0494979
43 98 point 50.6297594 3.0684215
45 98 point 50.6395133 3.0521818
48 98 point 50.6317228 3.0739981
0 99 point 50.6175142 3.0493588
7 99 point 50.6193921 3.0814742
10 99 point 50.6430011 3.0534799
13 99 point 50.6185613 3.0805669
19 99 point 50.6365145 3.0795957
30 99 point 50.6322571 3.0609605
31 99 point 50.6187825 3.0280024
32 99 point 50.6244441 3.0805322
33 99 point 50.6360232 3.0352601
38 99 point 50.6203347 3.0822923
40 99 point 50.6344912 3.0843089
41 99 point 50.6175142 3.0493588
43 99 point 50.6297087 3.0683882
45 99 point 50.6397666 3.052196
48 99 point 50.6317969 3.0743973
0 100 point 50.6173491 3.0491824
7 100 point 50.6188268 3.0815071
10 100 point 50.642057 3.0535754
13 100 point 50.6181842 3.0806939
19 100 point 50.635634 3.0804578
30 100 point 50.6323396 3.0608305
31 100 point 50.6185972 3.0267408
32 100 point 50.624733 3.0804378
33 100 point 50.6356416 3.0343437
38 100 point 50.6202499 3.0821211
40 100 point 50.6346106 3.0846941
41 100 point 50.6173491 3.0491824
43 100 point 50.6296791 3.0683768
45 100 point 50.6397359 3.0515757
48 100 point 50.6319786 3.0753577
0 101 point 50.6171992 3.0489904
7 101 point 50.6184291 3.0815208
10 101 point 50.642262 3.0541143
13 101 point 50.6178497 3.0808472
19 101 point 50.6346504 3.0813976
30 101 point 50.6324556 3.060586
31 101 disappearpoint 50.6182488 3.0243943
32 101 point 50.6250114 3.080323
33 101 point 50.6357475 3.0342384
38 101 point 50.6201236 3.0819459
40 101 point 50.6346848 3.0848993
41 101 point 50.6171992 3.0489904
43 101 point 50.6296542 3.0683712
45 101 point 50.6417578 3.0516125
48 101 point 50.6320364 3.0757394
0 102 point 50.6170729 3.0487908
7 102 point 50.6181066 3.0815007
10 102 point 50.6414665 3.0547382
13 102 point 50.6175822 3.0810422
19 102 point 50.633977 3.0820219
30 102 point 50.6330881 3.0595019
32 102 point 50.6252982 3.0801748
33 102 point 50.6361031 3.0351712
38 102 point 50.6199564 3.081856
40 102 point 50.6348167 3.0852134
41 102 point 50.6170729 3.0487908
43 102 point 50.6296192 3.0683694
45 102 point 50.6416769 3.0511878
48 102 point 50.6320465 3.0760974
0 103 point 50.6169579 3.0485797
7 103 point 50.6178486 3.0814111
10 103 point 50.6419821 3.056488
13 103 point 50.6175458 3.0810701
19 103 point 50.6335801 3.0823077
30 103 point 50.633161 3.0593675
32 103 point 50.6253289 3.0801589
33 103 point 50.6360232 3.0352601
38 103 point 50.6196287 3.0818748
40 103 point 50.6351502 3.0859879
41 103 point 50.6169579 3.0485797
43 103 point 50.6295754 3.068377
45 103 point 50.6403404 3.0510156
48 103 point 50.632101 3.0766017
0 104 point 50.6168801 3.0484061
7 104 point 50.6175804 3.0812577
10 104 point 50.6427199 3.0559487
13 104 point 50.6172866 3.0812769
19 104 point 50.6332761 3.0824515
30 104 point 50.6332177 3.0594824
32 104 point 50.6257664 3.0799189
33 104 point 50.6356416 3.0343437
38 104 point 50.6188664 3.0819384
40 104 point 50.6351954 3.0860685
41 104 point 50.6168801 3.0484061
43 104 point 50.6295358 3.0683937
45 104 point 50.6403405 3.0506554
48 104 point 50.6312941 3.076985
0 105 point 50.6168173 3.048246
7 105 point 50.6173321 3.0810367
10 105 point 50.6429148 3.055806
13 105 point 50.6170321 3.0815329
19 105 point 50.6328892 3.0825191
30 105 point 50.6334821 3.0598936
32 105 point 50.6260958 3.0797694
33 105 point 50.6357475 3.0342384
38 105 point 50.6185681 3.0819468
40 105 point 50.6355525 3.0866139
41 105 point 50.6168173 3.048246
43 105 point 50.6294758 3.0684401
45 105 point 50.639722 3.0502929
48 105 point 50.6311452 3.0770586
0 106 point 50.6167649 3.0480679
7 106 point 50.6169659 3.0806529
10 106 point 50.6434615 3.0572442
13 106 point 50.6168599 3.0817413
19 106 point 50.6324576 3.082481
30 106 point 50.6336276 3.0602118
32 106 point 50.6261556 3.0797367
33 106 point 50.6358217 3.0341646
38 106 point 50.6183013 3.0819522
40 106 point 50.6357987 3.0868767
41 106 point 50.6167649 3.0480679
43 106 point 50.6294509 3.0684687
45 106 point 50.6397274 3.0509602
48 106 point 50.6311236 3.0769445
0 107 point 50.6167144 3.0478669
7 107 point 50.617293 3.081067
10 107 point 50.6439489 3.0585177
13 107 point 50.616561 3.0821337
19 107 point 50.6316462 3.0822975
30 107 point 50.6339882 3.0610793
32 107 point 50.626281 3.0796816
33 107 point 50.6361945 3.0350695
38 107 point 50.6180927 3.0819304
40 107 point 50.6359393 3.0869677
41 107 point 50.6167144 3.0478669
43 107 point 50.6294254 3.0685061
45 107 point 50.6403404 3.0510156
48 107 point 50.6310253 3.0764221
0 108 point 50.6166611 3.0476275
7 108 point 50.6176181 3.0814814
10 108 point 50.6440474 3.0583816
13 108 point 50.616356 3.0824292
19 108 point 50.6307544 3.0821133
30 108 point 50.6340716 3.0613114
32 108 point 50.626319 3.0798953
33 108 point 50.6363157 3.0349346
38 108 point 50.6178322 3.0817397
40 108 disappearpoint 50.6358181 3.0872901
41 108 point 50.6166611 3.0476275
43 108 point 50.6293941 3.0685688
45 108 point 50.6403405 3.0506554
48 108 point 50.6309357 3.0759775
0 109 point 50.6166233 3.0473521
7 109 point 50.6177293 3.0816407
10 109 point 50.644608 3.0576096
13 109 point 50.6160617 3.082899
19 109 point 50.6304012 3.0820529
30 109 point 50.6340937 3.0613897
32 109 point 50.6264291 3.0804232
33 109 point 50.6359317 3.0340553
38 109 point 50.6177293 3.0816407
41 109 point 50.6166233 3.0473521
43 109 point 50.6293756 3.068621
45 109 point 50.639722 3.0502929
48 109 point 50.6309082 3.0758494
0 110 point 50.6166082 3.0471226
7 110 point 50.6178322 3.0817397
10 110 point 50.6438778 3.0550975
13 110 point 50.6148818 3.0847041
19 110 point 50.6300141 3.0820454
30 110 point 50.6342384 3.0617001
32 110 point 50.6264855 3.0807205
33 110 disappearpoint 50.6360932 3.0338947
38 110 point 50.6176181 3.0814814
41 110 point 50.6166082 3.0471226
43 110 point 50.6293635 3.0686687
45 110 point 50.638812 3.0503511
48 110 point 50.6307775 3.0759401
0 111 point 50.616591 3.0468106
7 111 point 50.6180927 3.0819304
10 111 point 50.6447409 3.0544635
13 111 point 50.6158117 3.0828573
19 111 point 50.6297485 3.0820923
30 111 point 50.6343396 3.0617291
32 111 point 50.6265786 3.0811402
38 111 point 50.617293 3.081067
41 111 point 50.616591 3.0468106
43 111 point 50.6293535 3.0687314
45 111 disappearpoint 50.6394372 3.0495213
48 111 point 50.6307033 3.0759688
0 112 point 50.6165794 3.0463914
7 112 point 50.6183013 3.0819522
10 112 point 50.6453791 3.0565484
13 112 point 50.6159564 3.0824851
19 112 point 50.6294219 3.0822146
30 112 point 50.6343842 3.0617419
32 112 point 50.6266851 3.0816536
38 112 point 50.6169659 3.0806529
41 112 point 50.6165794 3.0463914
43 112 point 50.6293504 3.0687683
48 112 point 50.6301433 3.075708
0 113 disappearpoint 50.6165711 3.0459446
7 113 point 50.6185681 3.0819468
10 113 point 50.6458396 3.058056
13 113 point 50.6160714 3.0821182
19 113 point 50.6285186 3.0824083
30 113 point 50.634434 3.0617215
32 113 point 50.6267914 3.0821271
38 113 point 50.6173321 3.0810367
41 113 disappearpoint 50.6165711 3.0459446
43 113 point 50.629354 3.0688871
48 113 point 50.6302275 3.0756608
7 114 point 50.6188664 3.0819384
10 114 point 50.6467691 3.0573034
13 114 point 50.6161434 3.0818159
19 114 point 50.6279612 3.0825455
30 114 point 50.6344614 3.0616751
32 114 point 50.6268912 3.0824228
38 114 point 50.6175804 3.0812577
43 114 point 50.6284355 3.0689082
48 114 point 50.6308168 3.0753466
7 115 point 50.6196287 3.0818748
10 115 point 50.6462576 3.0555466
13 115 point 50.6162079 3.081454
19 115 point 50.6273681 3.0827021
30 115 point 50.6347363 3.0609454
32 115 point 50.6270021 3.0825789
38 115 point 50.6178486 3.0814111
43 115 point 50.6282595 3.0689256
48 115 point 50.6308837 3.0757133
7 116 point 50.6199564 3.081856
10 116 point 50.6472141 3.0551166
13 116 point 50.6162725 3.0809394
19 116 point 50.6271581 3.0826876
30 116 point 50.6346365 3.060721
32 116 point 50.6271581 3.0826876
38 116 point 50.6181066 3.0815007
43 116 point 50.6282572 3.0687128
48 116 point 50.6309082 3.0758494
7 117 point 50.6201236 3.0819459
10 117 point 50.6471933 3.0549567
13 117 disappearpoint 50.6162954 3.0806116
19 117 point 50.6270021 3.0825789
30 117 point 50.6341442 3.0612419
32 117 point 50.6273681 3.0827021
38 117 point 50.6184291 3.0815208
43 117 point 50.6282545 3.0683578
48 117 point 50.6307775 3.0759401
7 118 point 50.6202499 3.0821211
10 118 point 50.6465505 3.0544997
19 118 point 50.6268912 3.0824228
30 118 point 50.6340716 3.0613114
32 118 point 50.6279612 3.0825455
38 118 point 50.6188268 3.0815071
43 118 point 50.6282522 3.068222
48 118 point 50.6307924 3.0760608
